"","X","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"271",37,"Somerset",77405,45.1,74500,5005,20604,96.2470124668949,6.46599056908468,2011
"272",38,"Washington",208282,43.9,196413,25016,26198,94.3014758836577,12.0106394215535,2011
"273",39,"Westmoreland",364471,45.5,346928,44949,24457,95.1867226747807,12.3326684427568,2011
"274",40,"York",436770,40.3,383691,42789,27984,87.8473796277217,9.79668933305859,2011
"275",1,"Adams",101482,42.3,93732,8638,26292,92.3631777063913,8.51185431899253,2012
"276",2,"Allegheny",1229338,41,997613,188026,28405,81.1504240493664,15.2948985551573,2012
"277",3,"Armstrong",68409,45.5,0,5822,23179,0,8.51057609378883,2012
"278",4,"Beaver",170245,44.8,154812,17924,26419,90.9348292167171,10.528356192546,2012
"279",5,"Berks",413491,39.7,355172,38661,26013,85.8959445308362,9.34990120703957,2012
"280",6,"Blair",127121,42.6,122217,9900,22338,96.142258163482,7.78785566507501,2012
"281",7,"Bucks",627053,42.5,560904,100003,34349,89.4508119728316,15.9480937018083,2012
"282",8,"Butler",184970,42.3,178451,25011,27465,96.4756446991404,13.5216521598097,2012
"283",9,"Cambria",141584,44.1,132895,12446,21986,93.8630071194485,8.79054130410216,2012
"284",10,"Carbon",65006,45.5,0,3888,25319,0,5.98098637048888,2012
"285",11,"Centre",155171,29.3,137936,17811,22307,88.8928988019669,11.4783045801084,2012
"286",12,"Chester",506575,40,439939,101219,37252,86.8457780190495,19.9810492029808,2012
"287",13,"Clearfield",81184,43.5,77287,5186,21430,95.1997930626724,6.38795821836815,2012
"288",14,"Columbia",66887,40.4,0,5961,24912,0,8.91204568899786,2012
"289",15,"Crawford",87598,42.3,84032,7252,21219,95.9291308020731,8.27872782483618,2012
"290",16,"Cumberland",238614,41.3,214171,31784,29158,89.7562590627541,13.3202578222569,2012
"291",17,"Dauphin",269665,39.7,195620,31840,29571,72.5418574898485,11.8072423191738,2012
"292",18,"Delaware",561098,39.1,402719,76640,31106,71.7733800512566,13.6589330206132,2012
"293",19,"Erie",280646,38.5,245770,30515,23193,87.5729566785203,10.8731284251334,2012
"294",20,"Fayette",135660,44.1,126083,9124,21685,92.9404393336282,6.72563762347044,2012
"295",21,"Franklin",151275,39.8,140927,13377,27573,93.1594777722691,8.8428358948934,2012
"296",22,"Indiana",88218,39.2,83344,7223,19847,94.4750504432202,8.18767145027092,2012
"297",23,"Lackawanna",214477,42,200007,23441,23230,93.2533558376889,10.9293770427598,2012
"298",24,"Lancaster",526823,38.5,466457,57404,27633,88.5415025539887,10.8962592749367,2012
"299",25,"Lawrence",89871,44.4,84227,9189,24067,93.7198873941538,10.2246553393197,2012
"300",26,"Lebanon",135251,41,119399,10727,27088,88.2795690974558,7.93117980643396,2012
"301",27,"Lehigh",355245,39.6,284205,42503,26502,80.0025334628214,11.9644189221523,2012
"302",28,"Luzerne",321027,43.1,290631,28816,23090,90.5316375258156,8.97619203369187,2012
"303",29,"Lycoming",117168,41.3,107783,9673,24758,91.9901338249351,8.25566707633484,2012
